অইংবা	অ_beg ইং_mid বা_end
অইবা	অ_beg ই_mid বা_end
অউন	অ_beg উন_end
অউন্	অ_beg উন্_end
অউবা	অ_beg উ_mid বা_end
অওইবা	অ_beg ওই_mid বা_end
অওং	অ_beg ওং_end
অকংবদি	অ_beg কং_mid ব_mid দি_end
অকংবদুদগী	অ_beg কং_mid ব_mid দু_mid দ_mid গী_end
অকংবনা	অ_beg কং_mid ব_mid না_end
অকংবা	অ_beg কং_mid বা_end
অকক্পা	অ_beg কক্_mid পা_end
অকঙ্বা	অ_beg কঙ্_mid বা_end
অকনবা	অ_beg কন_mid বা_end
অকন্	অ_beg কন্_end
অকন্বদুনা	অ_beg কন্_mid ব_mid দু_mid না_end
অকন্বনা	অ_beg কন্_mid ব_mid না_end
অকন্বনি	অ_beg কন্_mid ব_mid নি_end
অকন্ববু	অ_beg কন্_mid ব_mid বু_end
অকন্বশিংদুবু	অ_beg কন্_mid ব_mid শিং_mid দু_mid বু_end
অকন্বা	অ_beg কন্_mid বা_end
অকায়	অ_beg কায়_end
অকায়বা	অ_beg কায়_mid বা_end
অকায়্বা	অ_beg কায়্_mid বা_end
অকিবগী	অ_beg কি_mid ব_mid গী_end
অকিবশিং	অ_beg কি_mid ব_mid শিং_end
অকিবা	অ_beg কি_mid বা_end
অকূপ্পা	অ_beg কূপ্_mid পা_end
অকে	অ_beg কে_end
অকোইজম	অ_beg কোই_mid জম_end
অকোইবগী	অ_beg কোই_mid ব_mid গী_end
অকোন্বগী	অ_beg কোন্_mid ব_mid গী_end
অকোন্বদদি	অ_beg কোন্_mid ব_mid দ_mid দি_end
অকোয়বদা	অ_beg কোয়_mid ব_mid দা_end
অকোয়্বদা	অ_beg কোয়্_mid ব_mid দা_end
অকোয়্বদু	অ_beg কোয়্_mid ব_mid দু_end
অকোয়্বা	অ_beg কোয়্_mid বা_end
অখঙ	অ_beg খঙ_end
অখঙবা	অ_beg খঙ_mid বা_end
অখঙ্	অ_beg খঙ্_end
অখাক	অ_beg খাক_end
অখাক্	অ_beg খাক্_end
অখুবা	অ_beg খু_mid বা_end
অখুম	অ_beg খুম_end
অখুম্	অ_beg খুম্_end
অখোন্বা	অ_beg খোন্_mid বা_end
অখোয়্	অ_beg খোয়্_end
অখোয়্দি	অ_beg খোয়্_mid দি_end
অগনৈসকা	অ_beg গ_mid নৈ_mid স_mid কা_end
অগস্ত	অ_beg গস্ত_end
অগা	অ_beg গা_end
অগে	অ_beg গে_end
অগেদো	অ_beg গে_mid দো_end
অঙংদুনা	অ_beg ঙং_mid দু_mid না_end
অঙংশিংনা	অ_beg ঙং_mid শিং_mid না_end
অঙকপনা	অ_beg ঙক_mid প_mid না_end
